,website_type,tracking_type,tracking_number,Y,Y_predicted
1204,ONE,BOOKING_NUMBER,TYOD50307400  ,40,42
483,MSC,BOOKING_NUMBER,206ITY0057497,34,34
965,NAMSUNG,CONTAINER_NUMBER,NSSU0131530,38,35
1676,WANHAI,BOOKING_NUMBER,035DX57153,52,52
1317,ONE,CONTAINER_NUMBER,NYKU3783383,41,35
45,COSCO,BOOKING_NUMBER,CCSU6360804120,7,42
861,NAMSUNG,BILL_OF_LOADING_NUMBER,NSSLLCNIC2200010,36,36
1118,ONE,BOOKING_NUMBER,TYOD78170500,40,40
643,MSC,CONTAINER_NUMBER,MEDU4654342,35,35
256,HAMBURGSUD,BOOKING_NUMBER,SUDU33SYD005212X,16,15
478,MSC,BILL_OF_LOADING_NUMBER,MEDUGN742242,33,33
220,EVERGREEN,BOOKING_NUMBER,050300739921,13,13
76,EVERGREEN,BILL_OF_LOADING_NUMBER,550300095898,12,13
1815,YANGMING,BILL_OF_LOADING_NUMBER,N710613282 ,57,58
1586,WANHAI,BILL_OF_LOADING_NUMBER,035DX26051,51,52
99,EVERGREEN,BOOKING_NUMBER,024300069667,13,13
937,NAMSUNG,CONTAINER_NUMBER,SEGU3228797,38,35
941,NAMSUNG,CONTAINER_NUMBER,FFAU4908112,38,35
1774,WESTWOOD,BOOKING_NUMBER,PV003FSTY023,55,54
374,KMTC,BOOKING_NUMBER,JP01047084,28,28
1667,WANHAI,BOOKING_NUMBER,035CX28885,52,52
741,MSC,CONTAINER_NUMBER,MSDU6457062,35,35
30,COSCO,BOOKING_NUMBER,6231546800,7,43
1034,ONE,BOOKING_NUMBER,BKKC07477400,40,40
1630,WANHAI,BOOKING_NUMBER,035DX13016,52,52
1469,OOCL,CONTAINER_NUMBER,OOLU0672492,44,35
1593,WANHAI,BOOKING_NUMBER,035CX73750,52,52
1429,OOCL,BOOKING_NUMBER,2726701130,43,43
425,MAERSK,BOOKING_NUMBER,273577887,31,30
1473,OOCL,CONTAINER_NUMBER,OOLU9805301,44,35
1490,OOCL,CONTAINER_NUMBER,BSIU3084717,44,35
367,KMTC,BOOKING_NUMBER,JP01043558,28,28
1559,WANHAI,BILL_OF_LOADING_NUMBER,035DX37545,51,52
44,COSCO,BOOKING_NUMBER,5158342910,7,43
316,HAPAGLLOYD,CONTAINER_NUMBER,UACU5331117,20,35
168,EVERGREEN,BOOKING_NUMBER,020300448916,13,13
275,HAPAGLLOYD,BILL_OF_LOADING_NUMBER,HLCUBSC2307AUDU5,18,18
413,MAERSK,BILL_OF_LOADING_NUMBER,225817422,30,30
1823,YANGMING,BILL_OF_LOADING_NUMBER,N710613169,57,58
771,MSC,CONTAINER_NUMBER,BMOU4234919,35,35
599,MSC,CONTAINER_NUMBER,TGBU9618377,35,35
857,NAMSUNG,BILL_OF_LOADING_NUMBER,NSSLLCHKC2200239,36,36
1342,ONE,CONTAINER_NUMBER,TRHU2976428,41,35
834,NAMSUNG,BILL_OF_LOADING_NUMBER,NSSLLCSDC2200171,36,36
1707,WANHAI,CONTAINER_NUMBER, WHSU2584390,53,40
1178,ONE,BOOKING_NUMBER,TYOD61052300,40,40
1588,WANHAI,BILL_OF_LOADING_NUMBER,035DX20780,51,52
185,EVERGREEN,BOOKING_NUMBER,020300168743,13,13
576,MSC,CONTAINER_NUMBER,MEDU4983585,35,35
1616,WANHAI,BOOKING_NUMBER,035DX07296,52,52
479,MSC,BILL_OF_LOADING_NUMBER,MEDULZ858977,33,33
1761,WESTWOOD,BILL_OF_LOADING_NUMBER,PV003FSTM016,54,54
471,MSC,BILL_OF_LOADING_NUMBER,MEDUGN629282 ,33,33
1521,OOCL,CONTAINER_NUMBER,CSNU1761529,44,35
1720,WANHAI,CONTAINER_NUMBER,WHSU5988142,53,35
1292,ONE,CONTAINER_NUMBER,TLLU4023320,41,35
1555,SITC,BILL_OF_LOADING_NUMBER,SITCDTYG000688A,48,36
777,MSC,CONTAINER_NUMBER,MSCU5600107,35,35
432,MAERSK,BOOKING_NUMBER,228594636,31,30
1531,OOCL,CONTAINER_NUMBER,OOLU0712450,44,35
123,EVERGREEN,BOOKING_NUMBER,020300412318,13,13
305,HAPAGLLOYD,BOOKING_NUMBER,70561417,19,19
843,NAMSUNG,BILL_OF_LOADING_NUMBER,NSSLLCYMC2200089,36,36
465,MSC,BILL_OF_LOADING_NUMBER,MEDUAH304878,33,33
916,NAMSUNG,CONTAINER_NUMBER,NSSU0168740,38,35
1642,WANHAI,BOOKING_NUMBER,035DX31923,52,52
1572,WANHAI,BILL_OF_LOADING_NUMBER,035DX46336,51,52
1360,ONE,CONTAINER_NUMBER,TRHU6603464,41,35
194,EVERGREEN,BOOKING_NUMBER,020300228461,13,13
486,MSC,BOOKING_NUMBER,206ITY0057864,34,34
1339,ONE,CONTAINER_NUMBER,NYKU9802500,41,35
1629,WANHAI,BOOKING_NUMBER,035CX61969,52,52
1561,WANHAI,BILL_OF_LOADING_NUMBER,035DX52346,51,52
266,HAPAGLLOYD,BILL_OF_LOADING_NUMBER,HLCUVAN230501174,18,18
1603,WANHAI,BOOKING_NUMBER,035CX82710,52,52
67,DONGJIN,BILL_OF_LOADING_NUMBER,DJSCSHA230005238,9,18
464,MSC,BILL_OF_LOADING_NUMBER,MEDUAH211248,33,33
610,MSC,CONTAINER_NUMBER, CAIU7843272,35,40
1452,OOCL,BOOKING_NUMBER,2725445180,43,43
1838,YANGMING,BOOKING_NUMBER, YMFVLC0028948,58,42
1338,ONE,CONTAINER_NUMBER,CAXU7451838,41,35
572,MSC,CONTAINER_NUMBER,MSDU5029429,35,35
543,MSC,BOOKING_NUMBER,206ITY0055474,34,34
1549,SEALAND,CONTAINER_NUMBER,MRKU8205274,47,35
1699,WANHAI,CONTAINER_NUMBER,WHSU2341960,53,35
985,ONE,BILL_OF_LOADING_NUMBER,RTMD23434500,39,40
1074,ONE,BOOKING_NUMBER,BKKDJ6938700,40,40
1554,SITC,BILL_OF_LOADING_NUMBER,SITKBSH2313571,48,57
1455,OOCL,CONTAINER_NUMBER,CSNU1548982,44,35
1502,OOCL,CONTAINER_NUMBER,FFAU3384598,44,35
1578,WANHAI,BILL_OF_LOADING_NUMBER,035DX54894,51,52
394,KMTC,CONTAINER_NUMBER,BMOU1315386,29,35
