website_type,tracking_type,tracking_number,created_at,loading_port,departure_time
EVERGREEN,BILL_OF_LOADING_NUMBER,550300091052,2023/10/04,VENICE (IT),2023/09/17 00:00:00
EVERGREEN,BILL_OF_LOADING_NUMBER,574300008313,2023/07/10,LISBON (PT),2023/07/15 00:00:00
EVERGREEN,BILL_OF_LOADING_NUMBER,550300088582,2023/10/02,VENICE (IT),2023/08/30 00:00:00
EVERGREEN,BILL_OF_LOADING_NUMBER,578300009487 ,2023/09/20,VIGO (ES),2023/08/12 00:00:00
EVERGREEN,BILL_OF_LOADING_NUMBER,550300089898,2023/10/04,VENICE (IT),2023/09/17 00:00:00
EVERGREEN,BILL_OF_LOADING_NUMBER,550300077296,2023/09/22,VENICE (IT),2023/08/16 00:00:00
EVERGREEN,BILL_OF_LOADING_NUMBER,550300077059,2023/09/22,ANCONA (IT),2023/08/12 00:00:00
EVERGREEN,BILL_OF_LOADING_NUMBER,550300077075,2023/09/22,ANCONA (IT),2023/08/12 00:00:00
EVERGREEN,BILL_OF_LOADING_NUMBER,578300008057,2023/09/01,VIGO (ES),2023/07/06 00:00:00
EVERGREEN,BILL_OF_LOADING_NUMBER,550300091906,2023/10/06,VENICE (IT),2023/09/17 00:00:00
EVERGREEN,BOOKING_NUMBER,020300092292,2023/04/12,KOBE (JP),2023/03/17 00:00:00
EVERGREEN,BOOKING_NUMBER,024300069667,2023/09/22,NAGOYA (JP),2023/10/05 00:00:00
EVERGREEN,BOOKING_NUMBER,520100268818,2022/03/18,ROTTERDAM (NL),2022/01/29 00:00:00
EVERGREEN,BOOKING_NUMBER,020300169562,2023/06/19,MOJI (JP),2023/05/28 00:00:00
EVERGREEN,BOOKING_NUMBER,020300176372,2023/06/19,MOJI (JP),2023/06/10 00:00:00
EVERGREEN,BOOKING_NUMBER,020300180387,2023/06/19,MOJI (JP),2023/06/17 00:00:00
EVERGREEN,BOOKING_NUMBER,024300066838,2023/09/22,NAGOYA (JP),2023/10/25 00:00:00
EVERGREEN,BOOKING_NUMBER,020300375277,2023/09/22,MOJI (JP),2023/09/30 00:00:00
EVERGREEN,BOOKING_NUMBER,050100587671,2023/04/07,LAEM CHABANG (TH),2021/06/01 00:00:00
EVERGREEN,BOOKING_NUMBER,020300149862,2023/04/20,YOKOHAMA (JP),2023/05/02 00:00:00
EVERGREEN,BOOKING_NUMBER,020300293611,2023/08/01,NAGOYA (JP),2023/08/01 00:00:00
EVERGREEN,BOOKING_NUMBER,020300329364,2023/09/08,KOBE (JP),2023/09/19 00:00:00
EVERGREEN,BOOKING_NUMBER,020300329518,2023/09/08,YOKOHAMA (JP),2023/09/15 00:00:00
EVERGREEN,BOOKING_NUMBER,024300073478,2023/10/12,NAGOYA (JP),2023/11/17 00:00:00
EVERGREEN,BOOKING_NUMBER,024300066862,2023/10/12,NAGOYA (JP),2023/11/15 00:00:00
EVERGREEN,BOOKING_NUMBER,024300066846,2023/10/12,TOKYO (JP),2023/11/13 00:00:00
EVERGREEN,BOOKING_NUMBER,024300074644,2023/10/12,NAGOYA (JP),2023/10/24 00:00:00
EVERGREEN,BOOKING_NUMBER,020300220427,2023/07/31,KOBE (JP),2023/06/26 00:00:00
EVERGREEN,BOOKING_NUMBER,020300220443,2023/07/31,KOBE (JP),2023/06/23 00:00:00
EVERGREEN,BOOKING_NUMBER,520200061167,2022/05/06,ROTTERDAM (NL),2022/04/26 00:00:00
EVERGREEN,BOOKING_NUMBER,020300249034,2023/06/26,HAKATA (JP),2023/07/24 00:00:00
EVERGREEN,BOOKING_NUMBER,020300249042,2023/06/26,HAKATA (JP),2023/07/31 00:00:00
EVERGREEN,BOOKING_NUMBER,020300414621,2023/10/11,MOJI (JP),2023/11/21 00:00:00
EVERGREEN,BOOKING_NUMBER,020300414647,2023/10/11,MOJI (JP),2023/11/21 00:00:00
EVERGREEN,BOOKING_NUMBER,020300413853,2023/10/11,KOBE (JP),2023/11/19 00:00:00
EVERGREEN,BOOKING_NUMBER,020300412318,2023/10/11,MOJI (JP),2023/10/30 00:00:00
EVERGREEN,BOOKING_NUMBER,504100021021,2022/02/17,AARHUS (DK),2022/01/14 00:00:00
EVERGREEN,BOOKING_NUMBER,504100021012,2022/02/17,AARHUS (DK),2022/01/14 00:00:00
EVERGREEN,BOOKING_NUMBER,504100019468,2022/01/25,AARHUS (DK),2021/12/10 00:00:00
EVERGREEN,BOOKING_NUMBER,504100019166,2022/01/25,AARHUS (DK),2021/12/10 00:00:00
EVERGREEN,BOOKING_NUMBER,020300390586,2023/10/03,KOBE (JP),2023/10/16 00:00:00
EVERGREEN,BOOKING_NUMBER,550300084675,2023/09/28,VENICE (IT),2023/08/25 00:00:00
EVERGREEN,BOOKING_NUMBER,020300152774,2023/07/14,NAGOYA (JP),2023/05/24 00:00:00
EVERGREEN,BOOKING_NUMBER,020300294323,2023/08/29,KOBE (JP),2023/09/13 00:00:00
EVERGREEN,BOOKING_NUMBER,020300284069,2023/09/12,MOJI (JP),2023/08/13 00:00:00
EVERGREEN,BOOKING_NUMBER,020300309088,2023/08/29,KOBE (JP),2023/09/13 00:00:00
EVERGREEN,BOOKING_NUMBER,020300302262,2023/09/01,MOJI (JP),2023/09/13 00:00:00
EVERGREEN,BOOKING_NUMBER,020300309100,2023/08/29,KOBE (JP),2023/09/17 00:00:00
EVERGREEN,BOOKING_NUMBER,020300291723,2023/09/01,MOJI (JP),2023/08/31 00:00:00
EVERGREEN,BOOKING_NUMBER,020300317757,2023/09/01,YOKOHAMA (JP),2023/09/17 00:00:00
EVERGREEN,BOOKING_NUMBER,020300294315,2023/08/29,KOBE (JP),2023/08/23 00:00:00
EVERGREEN,BOOKING_NUMBER,020300294307,2023/08/29,KOBE (JP),2023/08/23 00:00:00
EVERGREEN,BOOKING_NUMBER,020300302270,2023/09/12,MOJI (JP),2023/09/02 00:00:00
EVERGREEN,BOOKING_NUMBER,020300350657,2023/09/12,MOJI (JP),2023/09/24 00:00:00
EVERGREEN,BOOKING_NUMBER,020300375162,2023/09/12,HAKATA (JP),2023/10/23 00:00:00
EVERGREEN,BOOKING_NUMBER,024300060058,2023/09/13,NAGOYA (JP),2023/09/17 00:00:00
EVERGREEN,BOOKING_NUMBER,024300058185,2023/09/13,NAGOYA (JP),2023/09/19 00:00:00
EVERGREEN,BOOKING_NUMBER,020300150721,2023/04/20,YOKOHAMA (JP),2023/05/02 00:00:00
EVERGREEN,BOOKING_NUMBER,020300224619,2023/06/02,KOBE (JP),2023/06/16 00:00:00
EVERGREEN,BOOKING_NUMBER,020300416453,2023/10/25,KOBE (JP),2023/10/26 00:00:00
EVERGREEN,BOOKING_NUMBER,020300121704,2023/04/20,SHIMIZU (JP),2023/04/25 00:00:00
EVERGREEN,BOOKING_NUMBER,020300149862,2023/04/20,YOKOHAMA (JP),2023/05/02 00:00:00
EVERGREEN,BOOKING_NUMBER,024300058002,2023/09/13,NAGOYA (JP),2023/10/01 00:00:00
EVERGREEN,BOOKING_NUMBER,020300150721,2023/04/20,YOKOHAMA (JP),2023/05/02 00:00:00
EVERGREEN,BOOKING_NUMBER,020300147428,2023/04/24,KOBE (JP),2023/05/18 00:00:00
EVERGREEN,BOOKING_NUMBER,024300066820,2023/09/13,TOKYO (JP),2023/10/22 00:00:00
EVERGREEN,BOOKING_NUMBER,020300413870,2023/10/30,KOBE (JP),2023/12/01 00:00:00
EVERGREEN,BOOKING_NUMBER,504100020270,2022/02/21,AARHUS (DK),2022/01/07 00:00:00
EVERGREEN,BOOKING_NUMBER,504100019603,2022/02/21,AARHUS (DK),2021/12/28 00:00:00
EVERGREEN,BOOKING_NUMBER,020300433200,2023/10/30,MOJI (JP),2023/12/05 00:00:00
